bit_change,one_ratio,prefix_number,zero_ratio,is_prefix,max_len,total_len,word_number,classe
4,0.42857142857142855,16,0.5714285714285714,0,7,21,5,0
2,0.3888888888888889,17,0.6111111111111112,1,7,18,3,1
2,0.45454545454545453,7,0.5454545454545454,0,7,11,3,1
0,0.5,2,0.5,1,2,2,1,1
4,0.6363636363636364,18,0.36363636363636365,1,7,22,5,1
0,0.2857142857142857,7,0.7142857142857143,1,7,7,1,1
3,0.56,22,0.44,1,7,25,4,1
0,0.3333333333333333,6,0.6666666666666666,1,6,6,1,1
3,0.55,18,0.45,0,7,20,4,1
3,0.391304347826087,19,0.6086956521739131,1,7,23,4,1
2,0.75,7,0.25,0,4,8,3,0
1,0.5,10,0.5,1,7,12,2,1
4,0.6666666666666666,12,0.3333333333333333,0,5,18,5,0
2,0.5714285714285714,13,0.42857142857142855,1,7,14,3,1
2,0.4666666666666667,12,0.5333333333333333,1,6,15,3,1
0,0.3333333333333333,3,0.6666666666666666,1,3,3,1,1
1,0.6,5,0.4,1,3,5,2,1
4,0.4444444444444444,20,0.5555555555555556,0,7,27,5,1
4,0.36363636363636365,16,0.6363636363636364,0,7,22,5,1
2,0.45454545454545453,10,0.5454545454545454,1,5,11,3,1
3,0.21428571428571427,9,0.7857142857142857,0,5,14,5,0
3,0.4375,14,0.5625,1,6,16,4,1
3,0.5263157894736842,16,0.47368421052631576,1,7,19,4,1
4,0.631578947368421,15,0.3684210526315789,0,7,19,5,0
4,0.42857142857142855,17,0.5714285714285714,0,6,21,5,0
1,0.75,7,0.25,0,7,8,2,1
2,0.5625,14,0.4375,1,7,16,3,1
4,0.5,18,0.5,0,7,22,5,0
0,1.0,2,0.0,1,2,2,1,1
0,0.5,6,0.5,1,6,6,1,1
2,0.3333333333333333,11,0.6666666666666666,1,7,12,3,1
4,0.5,22,0.5,0,7,30,5,1
3,0.4,11,0.6,0,7,15,5,0
2,0.35294117647058826,15,0.6470588235294118,1,7,17,3,1
3,0.35,15,0.65,0,7,20,5,1
2,0.6,3,0.4,0,2,5,3,1
4,0.56,21,0.44,0,7,25,5,1
1,0.5454545454545454,11,0.45454545454545453,1,6,11,2,1
3,0.36363636363636365,8,0.6363636363636364,0,4,11,4,0
4,0.35,16,0.65,0,6,20,5,1
2,0.26666666666666666,12,0.7333333333333333,1,6,15,3,1
3,0.3888888888888889,16,0.6111111111111112,0,7,18,4,0
2,0.4444444444444444,8,0.5555555555555556,0,6,9,3,1
2,0.3,9,0.7,0,5,10,3,1
1,0.5454545454545454,10,0.45454545454545453,1,6,11,2,1
1,0.2727272727272727,10,0.7272727272727273,1,7,11,2,1
1,0.2222222222222222,9,0.7777777777777778,1,6,9,2,1
3,0.6521739130434783,20,0.34782608695652173,1,7,23,4,1
0,0.8,5,0.2,1,5,5,1,1
0,0.7142857142857143,7,0.2857142857142857,1,7,7,1,1
3,0.5789473684210527,16,0.42105263157894735,1,6,19,4,1
1,0.5,4,0.5,1,3,4,2,1
2,0.5625,13,0.4375,1,6,16,3,1
1,1.0,5,0.0,0,5,9,2,0
2,0.75,10,0.25,1,7,16,3,1
1,0.2222222222222222,7,0.7777777777777778,1,5,9,2,1
4,0.43478260869565216,19,0.5652173913043478,0,7,23,5,0
4,0.2857142857142857,7,0.7142857142857143,0,4,14,5,0
3,0.55,15,0.45,1,7,20,4,1
3,0.4444444444444444,14,0.5555555555555556,0,7,18,4,1
2,0.25,11,0.75,1,7,12,3,1
2,0.3,7,0.7,0,5,10,3,1
1,0.5555555555555556,9,0.4444444444444444,1,5,9,2,1
0,1.0,4,0.0,1,4,4,1,1
2,0.8333333333333334,7,0.16666666666666666,0,7,12,3,0
0,0.5714285714285714,7,0.42857142857142855,1,7,7,1,1
4,0.6,19,0.4,0,7,25,5,1
2,0.4,4,0.6,1,2,5,3,1
4,0.47368421052631576,14,0.5263157894736842,0,6,19,5,0
2,0.5833333333333334,9,0.4166666666666667,0,7,12,3,1
0,0.6666666666666666,3,0.3333333333333333,1,3,3,1,1
4,0.5,16,0.5,1,6,22,5,1
0,0.8,5,0.2,1,5,5,1,1
3,0.42105263157894735,11,0.5789473684210527,0,6,19,4,1
1,0.4,4,0.6,0,4,5,2,1
1,0.8,5,0.2,1,4,5,2,1
3,0.3888888888888889,16,0.6111111111111112,0,7,18,4,1
4,0.64,16,0.36,0,7,25,5,0
0,0.25,4,0.75,1,4,4,1,1
1,0.25,8,0.75,1,4,8,2,1
1,0.0,3,1.0,0,3,4,2,0
1,0.5,7,0.5,1,6,8,2,1
3,0.45,16,0.55,1,7,20,4,1
3,0.5714285714285714,9,0.42857142857142855,0,5,14,4,0
4,0.30434782608695654,19,0.6956521739130435,1,6,23,5,1
3,0.6190476190476191,18,0.38095238095238093,0,7,21,4,1
3,0.6666666666666666,6,0.3333333333333333,0,3,9,4,0
2,0.36363636363636365,9,0.6363636363636364,0,7,11,3,1
2,0.5555555555555556,8,0.4444444444444444,1,4,9,3,1
1,0.4444444444444444,7,0.5555555555555556,0,7,9,2,1
1,0.6,4,0.4,0,4,5,2,1
3,0.631578947368421,15,0.3684210526315789,0,7,19,4,1
4,0.5652173913043478,19,0.43478260869565216,0,7,23,5,1
4,0.391304347826087,19,0.6086956521739131,0,7,23,5,1
3,0.4375,9,0.5625,0,6,16,4,0
3,0.4,12,0.6,1,7,15,4,1
2,0.5714285714285714,9,0.42857142857142855,0,7,14,3,1
0,0.3333333333333333,6,0.6666666666666666,1,6,6,1,1
4,0.6,17,0.4,0,7,20,5,0
3,0.5833333333333334,10,0.4166666666666667,0,4,12,4,1
1,0.46153846153846156,13,0.5384615384615384,1,7,13,2,1
4,0.5,20,0.5,1,7,24,5,1
0,0.42857142857142855,7,0.5714285714285714,1,7,7,1,1
0,0.3333333333333333,3,0.6666666666666666,1,3,3,1,1
4,0.7916666666666666,17,0.20833333333333334,0,7,24,5,0
3,0.16666666666666666,7,0.8333333333333334,0,5,12,4,0
1,0.4,7,0.6,1,6,10,2,1
2,0.5,7,0.5,0,6,8,3,0
3,0.4117647058823529,14,0.5882352941176471,1,6,17,4,1
4,0.6666666666666666,11,0.3333333333333333,0,7,15,5,0
4,0.4,19,0.6,0,7,25,5,1
4,0.5,11,0.5,0,5,14,5,0
1,0.75,7,0.25,0,7,8,2,1
1,0.6428571428571429,14,0.35714285714285715,1,7,14,2,1
1,0.2,4,0.8,0,4,5,2,1
4,0.35294117647058826,14,0.6470588235294118,0,7,17,5,0
0,0.75,4,0.25,1,4,4,1,1
1,0.6,4,0.4,0,4,5,2,1
3,0.7,7,0.3,0,4,10,4,0
3,0.5,8,0.5,0,5,10,4,0
0,0.7142857142857143,7,0.2857142857142857,1,7,7,1,1
4,0.4583333333333333,19,0.5416666666666666,0,7,24,5,1
4,0.391304347826087,17,0.6086956521739131,0,7,23,5,1
3,0.5625,13,0.4375,1,7,16,4,1
3,0.4,10,0.6,0,7,15,4,1
2,0.4444444444444444,7,0.5555555555555556,0,5,9,3,1
4,0.7058823529411765,11,0.29411764705882354,0,6,17,5,0
1,0.375,8,0.625,1,6,8,2,1
0,0.2,5,0.8,1,5,5,1,1
2,0.2727272727272727,8,0.7272727272727273,0,7,11,4,0
3,0.6666666666666666,16,0.3333333333333333,0,7,18,4,1
3,0.7142857142857143,11,0.2857142857142857,1,5,14,4,1
0,0.5,6,0.5,1,6,6,1,1
1,0.8888888888888888,7,0.1111111111111111,0,7,9,2,1
3,0.47368421052631576,16,0.5263157894736842,1,7,19,4,1
2,0.5625,15,0.4375,1,6,16,3,1
2,0.4444444444444444,8,0.5555555555555556,0,5,9,3,1
0,0.6666666666666666,6,0.3333333333333333,1,6,6,1,1
4,0.4,14,0.6,0,7,20,5,0
3,0.5294117647058824,11,0.47058823529411764,0,5,17,4,1
1,0.7142857142857143,5,0.2857142857142857,1,4,7,2,1
3,0.5294117647058824,14,0.47058823529411764,0,7,17,4,1
2,0.5454545454545454,10,0.45454545454545453,1,6,11,3,1
0,0.3333333333333333,3,0.6666666666666666,1,3,3,1,1
1,0.5714285714285714,6,0.42857142857142855,0,6,7,2,1
1,0.5,6,0.5,0,6,8,2,0
2,0.5,15,0.5,1,7,16,3,1
1,0.5,12,0.5,1,7,12,2,1
2,0.4444444444444444,8,0.5555555555555556,0,5,9,3,1
1,0.6666666666666666,3,0.3333333333333333,1,2,3,2,1
1,0.4444444444444444,9,0.5555555555555556,1,5,9,2,1
1,0.7777777777777778,7,0.2222222222222222,1,5,9,2,1
1,0.375,7,0.625,1,4,8,2,1
1,0.4166666666666667,10,0.5833333333333334,1,7,12,2,1
4,0.5555555555555556,14,0.4444444444444444,0,6,18,5,0
2,0.6666666666666666,8,0.3333333333333333,0,4,9,3,1
4,0.5217391304347826,15,0.4782608695652174,0,7,23,5,1
1,0.6666666666666666,3,0.3333333333333333,1,2,3,2,1
0,0.5714285714285714,7,0.42857142857142855,1,7,7,1,1
2,0.46153846153846156,11,0.5384615384615384,1,7,13,3,1
4,0.4166666666666667,8,0.5833333333333334,0,5,12,5,0
3,0.4444444444444444,16,0.5555555555555556,0,7,18,4,1
4,0.3333333333333333,13,0.6666666666666666,0,7,18,5,0
4,0.6296296296296297,23,0.37037037037037035,1,7,27,5,1
2,0.25,8,0.75,0,7,16,4,1
3,0.4117647058823529,14,0.5882352941176471,1,6,17,4,1
1,0.5,10,0.5,1,7,10,2,1
0,0.6666666666666666,6,0.3333333333333333,1,6,6,1,1
3,0.5789473684210527,16,0.42105263157894735,1,7,19,4,1
2,0.46153846153846156,12,0.5384615384615384,1,5,13,3,1
2,0.3333333333333333,4,0.6666666666666666,0,3,6,3,0
2,0.6666666666666666,5,0.3333333333333333,0,3,6,3,0
4,0.56,16,0.44,0,7,25,5,1
1,0.45454545454545453,10,0.5454545454545454,1,7,11,2,1
1,0.0,2,1.0,0,2,3,2,0
3,0.65,14,0.35,0,6,20,5,1
3,0.5294117647058824,13,0.47058823529411764,1,7,17,4,1
1,0.5384615384615384,12,0.46153846153846156,1,7,13,2,1
2,0.5384615384615384,12,0.46153846153846156,0,7,13,3,1
2,0.5625,15,0.4375,1,7,16,3,1
0,0.5,4,0.5,1,4,4,1,1
1,0.4,10,0.6,1,7,10,2,1
3,0.391304347826087,19,0.6086956521739131,1,7,23,4,1
1,0.6666666666666666,5,0.3333333333333333,0,5,6,2,1
3,0.56,20,0.44,1,7,25,4,1
1,0.45454545454545453,11,0.5454545454545454,1,6,11,2,1
1,0.4,10,0.6,1,6,10,2,1
2,0.25,6,0.75,0,6,8,3,1
1,0.4444444444444444,7,0.5555555555555556,1,5,9,2,1
1,0.5,9,0.5,1,6,10,2,1
2,0.5714285714285714,6,0.42857142857142855,0,4,7,3,0
3,0.3333333333333333,15,0.6666666666666666,1,7,18,4,1
2,0.4166666666666667,11,0.5833333333333334,0,6,12,3,1
1,0.4,3,0.6,0,3,5,2,1
0,0.75,4,0.25,1,4,4,1,1
1,0.25,7,0.75,1,4,8,2,1
2,0.8,9,0.2,1,7,10,3,1
1,0.5,12,0.5,1,7,12,2,1
0,0.4,5,0.6,1,5,5,1,1
1,0.5454545454545454,9,0.45454545454545453,1,6,11,2,1
4,0.52,21,0.48,1,7,25,5,1
1,0.5,6,0.5,1,5,6,2,1
4,0.47619047619047616,15,0.5238095238095238,0,7,21,5,0
4,0.5384615384615384,8,0.46153846153846156,0,6,13,5,0
4,0.5769230769230769,21,0.4230769230769231,1,7,26,5,1
2,0.5,9,0.5,0,5,10,3,1
2,0.5833333333333334,10,0.4166666666666667,0,6,12,3,1
3,0.36363636363636365,9,0.6363636363636364,0,6,11,4,0
1,0.5,4,0.5,1,3,4,2,1
1,0.7777777777777778,8,0.2222222222222222,1,6,9,2,1
2,0.38461538461538464,11,0.6153846153846154,1,5,13,3,1
0,0.8571428571428571,7,0.14285714285714285,1,7,7,1,1
1,0.6666666666666666,12,0.3333333333333333,1,7,12,2,1
4,0.3,15,0.7,0,7,20,5,0
3,0.46153846153846156,11,0.5384615384615384,0,5,13,4,1
4,0.6,10,0.4,0,6,15,5,0
3,0.2,6,0.8,0,4,10,4,0
4,0.20833333333333334,20,0.7916666666666666,0,7,24,5,0
1,0.5454545454545454,10,0.45454545454545453,1,6,11,2,1
2,0.7272727272727273,9,0.2727272727272727,0,5,11,3,0
2,0.2222222222222222,5,0.7777777777777778,0,4,9,3,1
3,0.6842105263157895,13,0.3157894736842105,0,6,19,4,1
4,0.5789473684210527,8,0.42105263157894735,0,5,19,5,0
2,0.6,12,0.4,1,6,15,3,1
4,0.5357142857142857,24,0.4642857142857143,0,7,28,5,1
3,0.391304347826087,17,0.6086956521739131,1,7,23,4,1
2,0.45,19,0.55,1,7,20,3,1
1,0.2,6,0.8,0,6,10,2,1
4,0.5,17,0.5,0,6,20,5,1
0,0.42857142857142855,7,0.5714285714285714,1,7,7,1,1
4,0.3,6,0.7,0,3,10,5,0
4,0.4444444444444444,13,0.5555555555555556,0,7,18,5,0
3,0.42105263157894735,17,0.5789473684210527,1,6,19,4,1
0,0.6,5,0.4,1,5,5,1,1
1,0.4,5,0.6,1,4,5,2,1
3,0.5,15,0.5,0,7,22,4,1
3,0.5714285714285714,10,0.42857142857142855,0,6,14,4,1
2,0.4375,12,0.5625,0,7,16,3,1
2,0.6153846153846154,11,0.38461538461538464,1,5,13,3,1
2,0.5,13,0.5,1,5,14,3,1
2,0.5,9,0.5,1,4,10,3,1
4,0.6190476190476191,17,0.38095238095238093,1,6,21,5,1
2,0.5714285714285714,6,0.42857142857142855,0,4,7,3,0
3,0.4166666666666667,10,0.5833333333333334,1,4,12,4,1
1,0.8,4,0.2,0,4,5,2,1
2,0.6428571428571429,12,0.35714285714285715,1,7,14,3,1
1,0.25,7,0.75,1,5,8,2,1
2,0.6666666666666666,11,0.3333333333333333,1,6,12,3,1
1,0.5,3,0.5,0,3,4,2,1
4,0.5,12,0.5,0,5,16,5,0
3,0.5454545454545454,8,0.45454545454545453,0,6,11,4,0
0,0.7142857142857143,7,0.2857142857142857,1,7,7,1,1
2,0.35714285714285715,13,0.6428571428571429,0,7,14,3,1
2,0.4444444444444444,8,0.5555555555555556,0,4,9,3,1
4,0.7142857142857143,17,0.2857142857142857,0,7,21,5,0
2,0.8333333333333334,5,0.16666666666666666,0,4,6,3,0
4,0.625,12,0.375,0,5,16,5,0
0,0.2857142857142857,7,0.7142857142857143,1,7,7,1,1
1,0.45454545454545453,11,0.5454545454545454,1,7,11,2,1
1,0.5714285714285714,7,0.42857142857142855,1,6,7,2,1
3,0.75,17,0.25,0,7,20,4,0
1,0.8333333333333334,4,0.16666666666666666,0,4,6,2,1
3,0.6190476190476191,15,0.38095238095238093,0,7,21,5,1
1,0.2,4,0.8,0,4,5,2,1
3,0.29411764705882354,13,0.7058823529411765,0,7,17,4,1
1,0.42857142857142855,13,0.5714285714285714,1,7,14,2,1
0,0.42857142857142855,7,0.5714285714285714,1,7,7,1,1
1,0.2727272727272727,8,0.7272727272727273,1,6,11,2,1
1,0.4166666666666667,12,0.5833333333333334,1,6,12,2,1
0,0.4,5,0.6,1,5,5,1,1
2,0.5454545454545454,9,0.45454545454545453,1,6,11,3,1
2,0.375,7,0.625,0,4,8,3,1
2,0.375,7,0.625,1,3,8,3,1
1,0.7142857142857143,7,0.2857142857142857,1,4,7,2,1
2,0.46153846153846156,12,0.5384615384615384,1,7,13,3,1
4,0.46153846153846156,6,0.5384615384615384,0,4,13,5,0
1,0.35714285714285715,13,0.6428571428571429,1,7,14,2,1
1,0.25,4,0.75,1,3,4,2,1
3,0.5263157894736842,16,0.47368421052631576,1,7,19,4,1
1,0.2,4,0.8,0,4,5,2,1
4,0.5238095238095238,13,0.47619047619047616,0,7,21,5,0
3,0.4666666666666667,13,0.5333333333333333,0,7,15,4,1
3,0.45,16,0.55,1,7,20,4,1
1,0.8571428571428571,4,0.14285714285714285,0,4,7,2,1
1,0.2857142857142857,7,0.7142857142857143,1,5,7,2,1
2,0.5,7,0.5,1,5,8,3,1
1,0.625,8,0.375,1,4,8,2,1
2,0.7142857142857143,4,0.2857142857142857,0,3,7,4,0
1,0.4,5,0.6,1,3,5,2,1
1,0.0,3,1.0,0,3,5,2,0
2,0.625,7,0.375,0,5,8,3,0
4,0.5,23,0.5,0,7,28,5,1
1,0.6,3,0.4,0,3,5,2,1
3,0.4375,14,0.5625,0,7,16,4,1
4,0.47058823529411764,13,0.5294117647058824,0,7,17,5,0
2,0.5384615384615384,11,0.46153846153846156,1,7,13,3,1
0,0.6,5,0.4,1,5,5,1,1
2,0.4,8,0.6,0,5,10,3,1
1,0.6,10,0.4,1,7,10,2,1
2,0.6,14,0.4,1,7,15,3,1
2,0.6666666666666666,4,0.3333333333333333,0,3,6,3,0
3,0.7391304347826086,17,0.2608695652173913,0,7,23,4,1
3,0.5882352941176471,14,0.4117647058823529,1,5,17,4,1
2,0.6,14,0.4,1,6,15,3,1
3,0.5,12,0.5,0,7,16,4,1
4,0.5,14,0.5,0,6,22,5,0
0,0.8571428571428571,7,0.14285714285714285,1,7,7,1,1
2,0.46153846153846156,11,0.5384615384615384,1,6,13,3,1
2,0.5833333333333334,10,0.4166666666666667,0,6,12,3,1
4,0.6956521739130435,18,0.30434782608695654,0,7,23,5,0
1,0.625,6,0.375,0,6,8,2,1
2,0.2857142857142857,13,0.7142857142857143,1,7,14,3,1
4,0.5217391304347826,16,0.4782608695652174,0,7,23,5,0
1,0.6666666666666666,6,0.3333333333333333,1,5,6,2,1
4,0.47619047619047616,16,0.5238095238095238,1,7,21,5,1
3,0.42857142857142855,5,0.5714285714285714,0,3,7,4,0
1,0.3333333333333333,3,0.6666666666666666,1,2,3,2,1
3,0.4444444444444444,7,0.5555555555555556,0,5,9,4,0
2,0.6,9,0.4,1,6,10,3,1
4,0.47619047619047616,16,0.5238095238095238,0,7,21,5,0
1,0.0,4,1.0,0,4,6,2,0
2,0.5384615384615384,12,0.46153846153846156,1,6,13,3,1
3,0.6,11,0.4,0,5,15,4,0
4,0.5909090909090909,16,0.4090909090909091,0,7,22,5,1
2,0.5,7,0.5,0,6,10,3,1
3,0.3076923076923077,9,0.6923076923076923,0,5,13,5,1
3,0.6,15,0.4,0,7,20,4,0
4,0.375,10,0.625,0,5,16,5,0
1,0.5,8,0.5,1,5,8,2,1
1,0.45454545454545453,11,0.5454545454545454,1,7,11,2,1
2,0.3076923076923077,9,0.6923076923076923,0,6,13,3,0
4,0.6666666666666666,7,0.3333333333333333,0,5,12,5,0
1,0.8333333333333334,6,0.16666666666666666,1,4,6,2,1
4,0.5,5,0.5,0,3,8,5,0
3,0.38461538461538464,10,0.6153846153846154,1,4,13,4,1
3,0.5,9,0.5,0,7,14,4,1
2,0.14285714285714285,11,0.8571428571428571,0,7,14,3,0
2,0.5454545454545454,8,0.45454545454545453,0,6,11,3,1
3,0.5,14,0.5,0,7,16,4,1
3,0.5,18,0.5,1,7,20,4,1
0,0.75,4,0.25,1,4,4,1,1
3,0.4666666666666667,11,0.5333333333333333,0,6,15,4,1
1,0.6153846153846154,13,0.38461538461538464,1,7,13,2,1
1,0.45454545454545453,11,0.5454545454545454,1,7,11,2,1
3,0.6666666666666666,12,0.3333333333333333,0,7,18,4,1
0,0.2,5,0.8,1,5,5,1,1
4,0.6521739130434783,17,0.34782608695652173,1,6,23,5,1
4,0.5833333333333334,17,0.4166666666666667,0,7,24,5,1
4,0.7368421052631579,12,0.2631578947368421,0,7,19,5,0
3,0.4,17,0.6,1,7,20,4,1
4,0.3333333333333333,13,0.6666666666666666,0,7,18,5,0
3,0.7,7,0.3,0,6,10,4,0
1,0.6428571428571429,14,0.35714285714285715,1,7,14,2,1
0,0.0,3,1.0,1,3,3,1,1
2,0.4,5,0.6,0,5,10,3,0
2,0.4666666666666667,14,0.5333333333333333,1,6,15,3,1
1,0.5,11,0.5,1,6,12,2,1
1,0.5,6,0.5,1,5,6,2,1
4,0.5625,12,0.4375,0,5,16,5,0
4,0.21052631578947367,13,0.7894736842105263,0,7,19,5,0
2,0.8181818181818182,8,0.18181818181818182,1,4,11,3,1
3,0.6666666666666666,18,0.3333333333333333,0,7,21,4,1
1,0.5,10,0.5,1,7,10,2,1
0,1.0,3,0.0,1,3,3,1,1
2,0.46153846153846156,11,0.5384615384615384,1,6,13,3,1
2,0.5833333333333334,9,0.4166666666666667,0,7,12,3,1
1,0.3333333333333333,3,0.6666666666666666,1,2,3,2,1
2,0.6428571428571429,11,0.35714285714285715,1,6,14,3,1
4,0.6086956521739131,15,0.391304347826087,0,7,23,5,1
3,0.3888888888888889,12,0.6111111111111112,0,7,18,5,1
0,0.42857142857142855,7,0.5714285714285714,1,7,7,1,1
3,0.5333333333333333,12,0.4666666666666667,0,6,15,4,1
4,0.5555555555555556,22,0.4444444444444444,0,7,27,5,1
1,0.75,8,0.25,1,6,8,2,1
3,0.3333333333333333,8,0.6666666666666666,0,5,12,4,0
0,1.0,1,0.0,0,1,2,2,1
